"","OTUOfInterest","rep","RMSE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","MAE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","R2(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","AUC_NS"
"1","Otu00001",1,9.58687453059161,4.1530612244898,0.736465202938606,0.979020979020979
"2","Otu00001",2,7.42144041125291,3.43333333333333,0.851019082307237,0.966647823629169
"3","Otu00001",3,8.9059091277255,4.14130434782609,0.81134615384539,0.987043892120571
"4","Otu00002",1,5.89794152952658,2.56122448979592,0.613852063610684,0.937736742424242
"5","Otu00002",2,5.15105167255516,2.17777777777778,0.636728598612062,0.9527981910684
"6","Otu00002",3,5.03142299864604,2.03260869565217,0.658497569038312,0.925436277102062
"7","Otu00003",1,3.76883027379226,1.79591836734694,0.412313603531269,0.896987151085512
"8","Otu00003",2,2.68741924943285,1.53333333333333,0.569131109792809,0.849090909090909
"9","Otu00003",3,2.79557103134661,1.53260869565217,0.610217209243303,0.891729323308271
"10","Otu00004",1,6.5145050088402,1.62244897959184,0.662092076202285,0.685975609756098
"11","Otu00004",2,4.13252680303199,1.36666666666667,0.390413179581688,0.700187969924812
"12","Otu00004",3,4.46483847509578,1.26086956521739,0.537479223223752,0.666208791208791
"13","Otu00005",1,3.57428457234194,0.795918367346939,0.364645925542757,0.779519331243469
"14","Otu00005",2,6.00277713507118,1.01111111111111,0.021351517535862,0.895
"15","Otu00005",3,3.15367280704785,0.728260869565217,0.547852157384588,0.81705948372615
"16","Otu00006",1,7.60840029848856,4.11224489795918,0.269475901779898,0.867424242424242
"17","Otu00006",2,11.0282465615447,5.42222222222222,0.030172727037419,0.873055555555556
"18","Otu00006",3,6.91092392992553,3.82608695652174,0.327218117235286,0.869381279746166
"19","Otu00007",1,13.7451290073455,3.96938775510204,0.014061740817437,0.926388888888889
"20","Otu00007",2,8.65961251378426,2.3,0.086006745305043,0.807164634146341
"21","Otu00007",3,7.89537564158534,2.16304347826087,0.183671488775371,0.924107142857143
"22","Otu00008",1,4.76916113789246,2.07142857142857,0.735182410984658,0.921369863013699
"23","Otu00008",2,3.60555127546399,1.42222222222222,0.76996443538241,0.888368983957219
"24","Otu00008",3,5.83840359359809,2.1304347826087,0.508760910103974,0.880194805194805
"25","Otu00009",1,2.26102739876349,1.11224489795918,0.190643946977945,0.875490196078431
"26","Otu00009",2,1.92064803878506,1.04444444444444,0.381416204648367,0.864491475602587
"27","Otu00009",3,3.79358726640446,1.54347826086957,0.181989198198776,0.869184455391352
"28","Otu00010",1,4.11319429968228,0.775510204081633,0.868539099828261,0.869701726844584
"29","Otu00010",2,5.85472269008343,1.54444444444444,0.73888950188818,0.86144578313253
"30","Otu00010",3,5.87737001224779,1.41304347826087,0.721090460400182,0.730252100840336
"31","Otu00011",1,4.04565778814466,1.04081632653061,0.692606230143179,0.839673913043478
"32","Otu00011",2,7.37337552730543,1.85555555555556,0.144883147357373,0.901176470588235
"33","Otu00011",3,7.45056169461185,1.85869565217391,0.117735818577154,0.787790697674419
"34","Otu00012",1,0.202030508910442,0.0204081632653061,NA,NA
"35","Otu00012",2,0.210818510677892,0.0222222222222222,NA,NA
"36","Otu00012",3,0,0,NA,NA
"37","Otu00013",1,3.12821263435117,0.887755102040816,0.350610733824073,0.681917211328976
"38","Otu00013",2,2.71825107171668,0.766666666666667,0.195452975142711,0.688344594594595
"39","Otu00013",3,2.24818767590407,0.815217391304348,0.652532958516019,0.774671052631579
"40","Otu00014",1,3.2810525936731,0.540816326530612,0.55974857895024,0.810688405797101
"41","Otu00014",2,3.64539283053128,0.711111111111111,0.58280520556197,0.737103174603175
"42","Otu00014",3,1.49273603479156,0.33695652173913,0.384357926648497,0.664728682170543
"43","Otu00015",1,1.74963553055941,0.755102040816326,0.115372707242966,0.90171568627451
"44","Otu00015",2,1.31233464566864,0.7,0.0695014288367883,0.873603762492651
"45","Otu00015",3,1.43329962885886,0.75,0.113526530920793,0.860153256704981
"46","Otu00016",1,4.90834358360271,1.94897959183673,0.271059556840829,0.908502252252252
"47","Otu00016",2,5.96284793999944,2.37777777777778,0.172268365352099,0.935160427807487
"48","Otu00016",3,6.5350227037961,2.81521739130435,0.0845778326478639,0.86578449905482
"49","Otu00017",1,2.53344969299546,0.86734693877551,0.87587872531111,0.878810975609756
"50","Otu00017",2,2.86744175568088,1,0.815309061122723,0.917293233082707
"51","Otu00017",3,3.45310194513256,1.18478260869565,0.565543216929332,0.879220779220779
"52","Otu00018",1,12.8432464584246,3.31632653061224,0.349282561179458,0.934108527131783
"53","Otu00018",2,4.76095228569523,1.22222222222222,0.893733103544788,0.952819332566168
"54","Otu00018",3,5.72466061268568,1.48913043478261,0.866081615602644,0.97699214365881
"55","Otu00019",1,2.64382221761739,0.581632653061224,0.00903794378530433,0.718023255813953
"56","Otu00019",2,2.72437556556034,0.577777777777778,0.000199564542023813,0.67375
"57","Otu00019",3,2.95620202874949,0.673913043478261,0.000220003320568522,0.751402918069585
"58","Otu00020",1,5.69550485121416,1.92857142857143,0.688640502180042,0.907738095238095
"59","Otu00020",2,6.53707375920858,2.17777777777778,0.662919128318692,0.879273504273504
"60","Otu00020",3,4.91559187466381,1.66304347826087,0.742536244983127,0.9421875
"61","Otu00022",1,1.64130361329658,0.530612244897959,0.288570927815114,0.876018099547511
"62","Otu00022",2,1.09544511501033,0.4,0.108986707072831,0.870726495726496
"63","Otu00022",3,3.00904433767383,0.66304347826087,0.195838378899458,0.915263748597082
"64","Otu00024",1,4.08831086321548,1,0.828050644511738,0.831521739130435
"65","Otu00024",2,5.3249934793909,1.55555555555556,0.733188197258994,0.884920634920635
"66","Otu00024",3,6.24760823801014,1.53260869565217,0.728402601654291,0.862403100775194
"67","Otu00025",1,4.70887134967129,1.62244897959184,0.0129225252978971,0.862739234449761
"68","Otu00025",2,5.2068331172711,1.93333333333333,0.0175691257510413,0.851966873706004
"69","Otu00025",3,4.86223244485762,1.94565217391304,0.0499707202718108,0.844399731723675
"70","Otu00026",1,3.93829964345435,1.3469387755102,0.162193637699017,0.959786821705426
"71","Otu00026",2,4.42342250600897,1.65555555555556,0.100490114272343,0.939375
"72","Otu00026",3,7.28682551506186,2.29347826086957,0.10500394523277,0.936026936026936
"73","Otu00027",1,1.42499552451857,0.806122448979592,0.562699308259807,0.854967948717949
"74","Otu00027",2,1.49814700361628,0.822222222222222,0.550857781037978,0.857230769230769
"75","Otu00027",3,1.13252315457662,0.673913043478261,0.764836735922121,0.842985074626866
"76","Otu00028",1,3.79177412571057,1.07142857142857,0.562695730992503,0.883270911360799
"77","Otu00028",2,5.25251262624745,1.72222222222222,0.195256786811315,0.842249657064472
"78","Otu00028",3,5.24300776604256,1.40217391304348,0.210309116013222,0.722222222222222
"79","Otu00029",1,4.61143211187685,1.57142857142857,0.34799433570051,0.941088516746411
"80","Otu00029",2,4.48578000154067,1.78888888888889,0.279781693590227,0.913435828877005
"81","Otu00029",3,4.27072949679356,1.45652173913043,0.334032557532009,0.930583501006036
"82","Otu00030",1,0.795394908975717,0.346938775510204,0.58401474849998,0.912728658536585
"83","Otu00030",2,1.23378370155478,0.544444444444444,0.180035085767051,0.853462837837838
"84","Otu00030",3,1.60501930098106,0.619565217391304,0.104113172236281,0.925164473684211
"85","Otu00032",1,1.31707777961327,0.448979591836735,0.572594699562888,0.842971887550201
"86","Otu00032",2,0.881917103688197,0.311111111111111,0.78113980439327,0.832264957264957
"87","Otu00032",3,0.834057656228299,0.326086956521739,0.807699468578919,0.930208333333333
"88","Otu00033",1,6.46023945976858,2.02040816326531,0.191875983510383,0.979651162790698
"89","Otu00033",2,6.09462422504,1.87777777777778,0.35636224915049,0.975834292289989
"90","Otu00033",3,3.84198771018563,0.978260869565217,0.53825880374857,0.930976430976431
"91","Otu00034",1,3.55711417085392,1,0.110811334844705,0.950062421972534
"92","Otu00034",2,3.24379750018743,0.922222222222222,0.234982213982341,0.935975609756098
"93","Otu00034",3,3.78067166795393,1.25,0.0818548320750783,0.894243641231593
"94","Otu00035",1,0.606091526731326,0.285714285714286,0.0640061126131421,0.919540229885057
"95","Otu00035",2,0.596284793999944,0.288888888888889,0.0321365804669847,0.95375
"96","Otu00035",3,0.571040240720161,0.282608695652174,0.0958820715745532,0.962195121951219
"97","Otu00036",1,3.11186013011314,0.887755102040816,0.0615226568965844,0.914838035527691
"98","Otu00036",2,2.54296414970142,0.666666666666667,0.0419594775112282,0.924542682926829
"99","Otu00036",3,2.85710403700336,0.793478260869565,0.161354686684832,0.899390243902439
"100","Otu00037",1,2.88380417688376,0.561224489795918,0.524395464477219,0.912903225806452
"101","Otu00037",2,2.66040932523132,0.522222222222222,0.6010006801237,0.870588235294118
"102","Otu00037",3,1.96435629461,0.423913043478261,0.914266581292978,0.974712643678161
"103","Otu00038",1,1.56817845715001,0.5,0.0497605640047887,0.842987804878049
"104","Otu00038",2,1.76383420737639,0.622222222222222,0.00649006558286026,0.819548872180451
"105","Otu00038",3,1.61177730687478,0.510869565217391,0.026785036750389,0.895833333333333
"106","Otu00039",1,2.32115382989599,0.73469387755102,0.729792385403152,0.92110762800418
"107","Otu00039",2,2.77088032541605,0.788888888888889,0.524541535380414,0.946875
"108","Otu00039",3,3.52629871234637,1.06521739130435,0.416252929874669,0.928170594837261
"109","Otu00040",1,4.22577127364258,0.938775510204082,0.00423040850280084,0.916354556803995
"110","Otu00040",2,4.63441234438389,1.1,4.21269740700049e-06,0.836128048780488
"111","Otu00040",3,4.41957109860812,1.05434782608696,0.000336699436963719,0.867469879518072
"112","Otu00041",1,4.01400609092203,1.23469387755102,0.507835558152211,0.92984693877551
"113","Otu00041",2,3.39116499156263,0.966666666666667,0.582102072255756,0.991452991452991
"114","Otu00041",3,4.01491783445083,1.07608695652174,0.449106282484533,0.949367088607595
"115","Otu00042",1,2.60298102261266,0.714285714285714,0.0250367341287527,0.954022988505747
"116","Otu00042",2,1.36626010212795,0.4,0.435780509951714,0.975625
"117","Otu00042",3,1.87373145493622,0.554347826086957,0.264151495813961,0.971951219512195
"118","Otu00043",1,2.72928188207754,0.979591836734694,0.0249975274665101,0.810049019607843
"119","Otu00043",2,3.112698007981,1.26666666666667,0.00361449935011932,0.777483833039389
"120","Otu00043",3,2.05627353957717,0.83695652173913,0.0629720651968858,0.801424501424501
"121","Otu00045",1,1.18666055184544,0.612244897959184,0.325153681161157,0.896231884057971
"122","Otu00045",2,1.82574185835055,0.8,0.172552644272467,0.845922459893048
"123","Otu00045",3,1.62854963481113,0.739130434782609,0.0732187265314269,0.873051948051948
"124","Otu00046",1,2.37332110369088,0.714285714285714,0.0254745949119269,0.833817829457364
"125","Otu00046",2,2.43356163312586,0.788888888888889,0.0266589432949529,0.764672036823936
"126","Otu00046",3,2.43837080320304,0.684782608695652,0.0112294984800294,0.851851851851852
"127","Otu00047",1,1.961361459678,0.663265306122449,0.713037707008563,0.946220930232558
"128","Otu00047",2,2.76284877134695,0.833333333333333,0.476393301263558,0.97542735042735
"129","Otu00047",3,2.95252287109648,0.847826086956522,0.393048870596665,0.947916666666667
"130","Otu00048",1,2.95545155222531,1.12244897959184,0.435529527661903,0.900124843945069
"131","Otu00048",2,3.6484395446699,1.11111111111111,0.242940390649872,0.94359756097561
"132","Otu00048",3,2.98729192471681,1.1195652173913,0.476117686927912,0.956492637215529
"133","Otu00049",1,1.20796675180627,0.5,0.383140204081585,0.909222948438635
"134","Otu00049",2,1.46818103636968,0.622222222222222,0.2028786935803,0.96875
"135","Otu00049",3,1.35534369137099,0.554347826086957,0.284766818760237,0.916940789473684
"136","Otu00050",1,0.735402152927643,0.295918367346939,0.693686021218885,0.918367346938776
"137","Otu00050",2,0.862811940369652,0.3,0.642386765403809,0.910714285714286
"138","Otu00050",3,1.0215078369105,0.369565217391304,0.519377514999354,0.862179487179487
