"","OTUOfInterest","rep","RMSE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","MAE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","R2(AllPredictionsNS$Predicted, AllPredictionsNS$Real)"
"1","Otu00001",1,12.6333701290007,5.07142857142857,0.582807386867517
"2","Otu00001",2,10.3138908315932,4.39784946236559,0.690847922064877
"3","Otu00001",3,9.69255653447082,4.01086956521739,0.716822389617427
"4","Otu00002",1,5.7905623427175,2.3265306122449,0.487077015078529
"5","Otu00002",2,6.04819354529022,2.62365591397849,0.431875876222085
"6","Otu00002",3,11.3472846780724,4.34782608695652,0.138603926802058
"7","Otu00003",1,2.29684788440193,1.19387755102041,0.634986272492034
"8","Otu00003",2,2.87742417666793,1.54838709677419,0.463015276036687
"9","Otu00003",3,3.79788270533442,1.81521739130435,0.325669891742901
"10","Otu00004",1,2.55350899024564,0.826530612244898,0.000349797943899131
"11","Otu00004",2,2.27893580144259,0.763440860215054,0.101275054545455
"12","Otu00004",3,3.38635368860783,0.989130434782609,0.00882368181649077
"13","Otu00005",1,0.90913729009699,0.295918367346939,0.45280222498691
"14","Otu00005",2,1.09740652233747,0.365591397849462,0.297640240830386
"15","Otu00005",3,1.09841783449215,0.402173913043478,0.190913365726953
"16","Otu00006",1,7.13857014208514,4.22448979591837,0.417760631974611
"17","Otu00006",2,7.07258830813332,3.89247311827957,0.372887880003672
"18","Otu00006",3,6.69604036141802,4.01086956521739,0.360441877300949
"19","Otu00007",1,6.88165262543401,1.78571428571429,0.0480229762073609
"20","Otu00007",2,7.27789405910005,1.59139784946237,0.00794263918947198
"21","Otu00007",3,6.79113872759137,1.6195652173913,0.0517217041216614
"22","Otu00008",1,8.07932609838727,2.8469387755102,0.348138863612254
"23","Otu00008",2,5.9360390109723,2.11827956989247,0.511997830370842
"24","Otu00008",3,6.88018579122244,2.29347826086957,0.325565772803524
"25","Otu00009",1,2.06278986831338,1.03061224489796,0.297029736620869
"26","Otu00009",2,2.13521422460282,0.989247311827957,0.370195566327196
"27","Otu00009",3,1.91957875813827,1.01086956521739,0.459486133211029
"28","Otu00010",1,9.10987354019623,2.8469387755102,0.302092702914877
"29","Otu00010",2,7.2734603736084,1.65591397849462,0.572799610701656
"30","Otu00010",3,7.58645818719691,2.03260869565217,0.682714432179235
"31","Otu00011",1,5.40030233469594,1.53061224489796,0.474090587631965
"32","Otu00011",2,7.06117660547897,1.83870967741935,0.0917562694709739
"33","Otu00011",3,7.77188354988953,2.29347826086957,0.0343224736799966
"34","Otu00013",1,2.53143502095276,0.877551020408163,0.227523018595414
"35","Otu00013",2,2.82081357897182,0.838709677419355,0.111203786142872
"36","Otu00013",3,2.67028739700593,0.804347826086957,0.414301457661581
"37","Otu00014",1,1.85988808089879,0.397959183673469,0.000469905237946475
"38","Otu00014",2,1.90076385324597,0.451612903225806,0.0182342078319597
"39","Otu00014",3,1.91106617181182,0.41304347826087,0.00218535006070417
"40","Otu00015",1,1.12485826771597,0.591836734693878,0.0988191684667879
"41","Otu00015",2,1,0.462365591397849,0.207630587608128
"42","Otu00015",3,1.07844493520108,0.510869565217391,0.135413290093577
"43","Otu00016",1,5.88234993997522,2.56122448979592,0.1320136754711
"44","Otu00016",2,4.96222288032072,1.8494623655914,0.381987291477477
"45","Otu00016",3,8.04471200878862,2.93478260869565,0.0959180466642429
"46","Otu00017",1,2.8784916685157,0.938775510204082,0.772554892656508
"47","Otu00017",2,3.6248841286635,1.16129032258065,0.680799381020651
"48","Otu00017",3,3.85469786781972,1.18478260869565,0.497791792506674
"49","Otu00018",1,10.1749993732136,2.14285714285714,0.483355173120062
"50","Otu00018",2,7.28084834948319,1.74193548387097,0.74781879576605
"51","Otu00018",3,11.2790687250476,2.28260869565217,0.554849136388079
"52","Otu00019",1,2.75162289775117,0.714285714285714,0.00304432060499691
"53","Otu00019",2,3.13838531184292,0.903225806451613,0.000753678898878296
"54","Otu00019",3,3.67866941918572,1.07608695652174,0.00855284867552013
"55","Otu00020",1,5.23138097817159,1.83673469387755,0.693574979492533
"56","Otu00020",2,11.8276148533117,2.83870967741935,0.35724531962516
"57","Otu00020",3,5.28739271655988,1.80434782608696,0.690549420519672
"58","Otu00022",1,0.808122035641769,0.306122448979592,0.36852380624742
"59","Otu00022",2,0.775983593663171,0.279569892473118,0.414582784264745
"60","Otu00022",3,0.787124651749203,0.293478260869565,0.405776417861934
"61","Otu00024",1,6.9230463979791,2.29591836734694,0.490956276604999
"62","Otu00024",2,4.06003337027443,1.38709677419355,0.853431483859176
"63","Otu00024",3,3.04495305882288,0.989130434782609,0.93457652374215
"64","Otu00025",1,4.42396073348629,1.85714285714286,0.243791834575467
"65","Otu00025",2,5.35010802825312,2.1505376344086,0.0496088732665067
"66","Otu00025",3,4.48548383314346,1.68478260869565,0.12800314480378
"67","Otu00026",1,4.82764149963309,1.79591836734694,0.00386055556489323
"68","Otu00026",2,3.84651776607507,1.2258064516129,0.0854724141325718
"69","Otu00026",3,3.4750664679286,1.03260869565217,0.148686017161883
"70","Otu00027",1,1.98976975388345,0.897959183673469,0.605466676578737
"71","Otu00027",2,1.75057594209228,0.913978494623656,0.5771328285614
"72","Otu00027",3,1.42569586365823,0.793478260869565,0.611238769702414
"73","Otu00028",1,6.23354977979184,1.77551020408163,0.513936534832723
"74","Otu00028",2,4.8857924374594,1.31182795698925,0.315052324628257
"75","Otu00028",3,4.00543109550889,0.956521739130435,0.534608808526372
"76","Otu00029",1,11.1606999999909,2.80612244897959,0.08920224563312
"77","Otu00029",2,6.28190779870239,1.82795698924731,0.14507972867481
"78","Otu00029",3,8.50255716010598,2.55434782608696,0.220806812261592
"79","Otu00030",1,1.30540477732122,0.540816326530612,0.225882103488401
"80","Otu00030",2,1.8950983746134,0.645161290322581,0.10035480437812
"81","Otu00030",3,1.03734611221219,0.467391304347826,0.325184544502248
"82","Otu00032",1,3.56857028479908,0.857142857142857,0.124232242009239
"83","Otu00032",2,1.16858521206177,0.462365591397849,0.638273047257022
"84","Otu00032",3,0.926658325475961,0.33695652173913,0.790459286178994
"85","Otu00033",1,4.7979587496419,1.36734693877551,0.430427126431815
"86","Otu00033",2,4.68926937931998,1.38709677419355,0.47776547476621
"87","Otu00033",3,4.18070100217239,1.30434782608696,0.469106418714664
"88","Otu00034",1,3.99233960356632,1.16326530612245,0.0422430568646205
"89","Otu00034",2,3.05152879012951,0.752688172043011,0.324945702378569
"90","Otu00034",3,4.97275184073821,1.27173913043478,0.0760338667647711
"91","Otu00035",1,0.606091526731326,0.306122448979592,0.0640061126131421
"92","Otu00035",2,0.647576125802733,0.333333333333333,NA
"93","Otu00035",3,0.598912057128518,0.293478260869565,0.0305705223738011
"94","Otu00036",1,3.34724986110285,1.02040816326531,0.000806658742051185
"95","Otu00036",2,3.12637066714539,0.978494623655914,0.0488258213762722
"96","Otu00036",3,3.72856190950928,1.20652173913043,0.00317478397040998
"97","Otu00037",1,3.62530786869986,1.12244897959184,0.0687287177889423
"98","Otu00037",2,3.25939502269647,0.967741935483871,0.262441390237909
"99","Otu00037",3,3.22355461374956,0.978260869565217,0.255078766629088
"100","Otu00038",1,1.65985000551746,0.571428571428571,0.0418785128011315
"101","Otu00038",2,1.80798705866526,0.602150537634409,0.0208536429129344
"102","Otu00038",3,1.64184413813037,0.543478260869565,0.0185927893937474
"103","Otu00039",1,2.87139303460597,0.938775510204082,0.5884472016873
"104","Otu00039",2,3.27420679058713,0.806451612903226,0.390848477627475
"105","Otu00039",3,3.86455464558281,1.21739130434783,0.312647744632458
"106","Otu00040",1,4.71969386762337,1.25510204081633,0.000408868158897661
"107","Otu00040",2,5.00429922693359,1.53763440860215,0.000723256296201696
"108","Otu00040",3,5.2801926842312,1.42391304347826,2.41745779825573e-06
"109","Otu00041",1,4.0355562548073,1.22448979591837,0.498338820018578
"110","Otu00041",2,3.29548403937319,0.946236559139785,0.625968803635403
"111","Otu00041",3,6.81669944359789,1.77173913043478,0.0797091847270852
"112","Otu00042",1,1.38873014965883,0.418367346938776,0.205487073460941
"113","Otu00042",2,1.79005616539505,0.494623655913978,0.209732756050737
"114","Otu00042",3,1.65503185310211,0.456521739130435,0.214051222580038
"115","Otu00043",1,3.53697668661141,1.22448979591837,0.000840310374883924
"116","Otu00043",2,2.7882240850382,0.956989247311828,0.0149017784044293
"117","Otu00043",3,2.11875681350706,0.880434782608696,0.0250960879602491
"118","Otu00045",1,1.12938487863156,0.520408163265306,0.336358392132345
"119","Otu00045",2,1.11200680743642,0.548387096774194,0.279806760070718
"120","Otu00045",3,1.10826931274182,0.554347826086957,0.303584345530353
"121","Otu00046",1,2.71240536372107,0.928571428571429,0.0113668402989181
"122","Otu00046",2,2.47134110994829,0.752688172043011,0.00953895995392834
"123","Otu00046",3,3.32480793822545,0.923913043478261,0.0305754944033525
"124","Otu00047",1,3.75390952670597,1.01020408163265,0.306327283305045
"125","Otu00047",2,3.47494875029896,1.06451612903226,0.36882860875297
"126","Otu00047",3,2.54096866157976,0.847826086956522,0.551281653764435
"127","Otu00048",1,2.43486579272276,0.948979591836735,0.614564948974979
"128","Otu00048",2,2.42744168174635,0.795698924731183,0.670536606931761
"129","Otu00048",3,3.09628107925284,1.04347826086957,0.487766315187833
"130","Otu00049",1,1.15617243258847,0.479591836734694,0.410538475496148
"131","Otu00049",2,1.25295349998245,0.494623655913978,0.345628047364755
"132","Otu00049",3,1.4142135623731,0.565217391304348,0.180336163128924
"133","Otu00050",1,0.925820099772551,0.326530612244898,0.515845917215052
"134","Otu00050",2,0.950381926622983,0.32258064516129,0.562809855918824
"135","Otu00050",3,0.834057656228299,0.282608695652174,0.64303370060527
